Rank,Name,Section/Region,County,Height,"Prom.
(m)","Height
(ft)","Prom.
(ft)",Topo Map,"OS Grid
Reference","Classification
(§ DoBIH codes)"
202,Beinn Spionnaidh,16B: Durness to Loch Shin,Highland,773,211,"2,536",692,9,NC361572,"Ma,C,Sim"
203,Meall a' Phubuill,10D: Mallaig to Fort William,Highland,772.7,467,"2,535","1,535",41,NN029854,"Ma,C,Sim"
204,Meall Lighiche,03B: Loch Linnhe to Loch Etive,Highland,772,247,"2,533",810,41,NN094528,"Ma,C,Sim"
205,Beinn Stacach,01C: Loch Lomond to Strathyre,Stirling,771.8,364,"2,532","1,191",57,NN474163,"Ma,C,Sim"
206,Stob Coire a' Chearcaill,18B: Sunart and Ardgour,Highland,771,575,"2,530","1,886",41,NN016726,"Ma,C,Sim"
207,Druim Tarsuinn,18B: Sunart and Ardgour,Highland,770,259,"2,526",850,40,NM874727,"Ma,C,Sim"
208,Cùl Beag,16F: Lochinver to Ullapool,Highland,769.4,546,"2,524","1,791",15,NC140088,"Ma,C,Sim"
209,Meallach Mhòr,06A: Glen Tromie to Glen Tilt,Highland,769,232,"2,523",761,35,NN776908,"Ma,C,Sim"
210,Beinn a' Chòin,01C: Loch Lomond to Strathyre,Argyll and Bute/Stirling,768.7,345,"2,522","1,132",50 56,NN354130,"Ma,C,Sim"
211,Càrn Dearg,09B: Glen Albyn and the Monadh Liath,Highland,768,196,"2,520",643,34,NN357948,"Ma,C,Sim"
212,Sail Mhòr,14A: Loch Maree to Loch Broom,Highland,767,322,"2,516","1,056",19,NH032887,"Ma,C,Sim"
213,Beinn Liath Mhòr a' Ghiubhais,14B: The Fannaichs,Highland,766,281,"2,513",922,20,NH280713,"Ma,C,Sim"
214,Dùn da Ghaoithe,17E: Mull and Nearby Islands,Argyll and Bute,766,659,"2,513","2,162",49,NM672362,"Ma,C,Sim"
215,Fuar Bheinn,18C: Morvern and Kingairloch,Highland,766,226,"2,513",741,49,NM853563,"Ma,C,Sim"
216,Bràigh nan Uamhachan,10D: Mallaig to Fort William,Highland,765,276,"2,510",906,40,NM975866,"Ma,C,Sim"
217,Ben Loyal - An Caisteal,16B: Durness to Loch Shin,Highland,764.2,609,"2,507","1,998",10,NC578488,"Ma,C,Sim"
218,Meall an Fhudair,01D: Inveraray to Crianlarich,Argyll and Bute,764,382,"2,507","1,253",50 56,NN270192,"Ma,C,Sim"
219,Quinag - Spidean Coinich,16E: Scourie to Lairg,Highland,764,192,"2,507",630,15,NC206277,"Ma,C,Sim"
220,Cnoc Coinnich,19C: Loch Fyne to Bute and the Firth of Clyde,Argyll and Bute,763.5,273.6,"2,505",906,56,NN233007,"Ma,C,Sim,xG"
221,Little Wyvis,15B: Loch Vaich to Moray Firth,Highland,763,249,"2,503",817,20,NH429644,"Ma,C,Sim"
222,Beinn na h-Uamha,18B: Sunart and Ardgour,Highland,762.4,269,"2,501",883,40,NM917664,"Ma,C,Sim"
